Method,Route,File,AuthLevel,RateLimit,SideEffects,Transaction,Schema,Paginated,Notes
PATCH|DELETE,/api/account/addresses/{id},src/app/api/account/addresses/[id]/route.ts,customer,,Update/delete own address (exclusive default rewrites),,zod,,Own-row scoping via userId; 404 on foreign id
GET|POST,/api/account/addresses,src/app/api/account/addresses/route.ts,customer,,"List/create own addresses (PII: recipient, phone, address)",,zod,,
POST,/api/account/data-export,src/app/api/account/data-export/route.ts,customer,3/h/user,GDPR JSON export of own data (read-only),,manual/none,,PRIV-002 throttle 3/h per user
POST,/api/account/deletion-request,src/app/api/account/deletion-request/route.ts,customer,3/h/user,GDPR anonymize own account (irreversible!),yes,manual/none,,S11 password re-auth; big $transaction; rateLimit per user
POST,/api/account/email/change,src/app/api/account/email/change/route.ts,customer,3/h/user,Mint EmailChangeToken + queue mail to NEW address,,zod,,Password re-auth; dev confirmUrl behind DEV_EXPOSE_RESET_LINK
POST,/api/account/email/verification-request,src/app/api/account/email/verification-request/route.ts,customer,4/h/user,Mint verify token + queue mail,,manual/none,,
POST,/api/account/orders/{orderNumber}/cancel,src/app/api/account/orders/[orderNumber]/cancel/route.ts,customer,,Cancel own PAID/PROCESSING order: flip + restock + full refund,yes,zod,yes,Guarded updateMany race-safe; 404 masks foreign orders
GET,/api/account/orders/{orderNumber},src/app/api/account/orders/[orderNumber]/route.ts,customer,,"Own order detail (PII: address JSON, email)",,manual/none,yes,safeTrackingUrl; 404 on foreign
GET,/api/account/orders,src/app/api/account/orders/route.ts,customer,,"Own order history, paginated 10/page",,manual/none,yes,
PUT,/api/account/password,src/app/api/account/password/route.ts,customer,5/min/IP,Change password (current pw re-auth); revokes other sessions,yes,zod,,$transaction; rateLimit 5/min/IP
PATCH,/api/account/profile,src/app/api/account/profile/route.ts,customer,,Update name/locale/marketingConsent; consent row on marketing change,,zod,,
GET|POST,/api/account/returns,src/app/api/account/returns/route.ts,customer,,List own returns / create return request for paid order,,zod,,COM-006 overlap guard; ownership checks
GET,/api/account/summary,src/app/api/account/summary/route.ts,customer,,Account dashboard tiles (bounded take),,manual/none,yes,
POST,/api/account/tickets/{id}/messages,src/app/api/account/tickets/[id]/messages/route.ts,customer,,Reply to OWN ticket (reopens CLOSED),,zod,,Ownership scoping; body cap 5000
GET,/api/account/tickets/{id},src/app/api/account/tickets/[id]/route.ts,customer,,Own ticket detail,,manual/none,,404 on foreign ticket
GET|POST,/api/account/tickets,src/app/api/account/tickets/route.ts,customer,,List own tickets / create ticket,,zod,yes,Sequential TK number w/ retry on P2002
GET,/api/admin/analytics,src/app/api/admin/analytics/route.ts,staff(ADMIN),,Analytics aggregates (read-only),,manual/none,yes,take-bounded reads
PATCH|DELETE,/api/admin/announcements/{id},src/app/api/admin/announcements/[id]/route.ts,content-admin,,"Edit/delete announcements (raw SQL, audited)",,zod,,No rate limit; audit on change
GET|POST,/api/admin/announcements,src/app/api/admin/announcements/route.ts,content-admin,,"List/create announcements (raw SQL, audited)",,zod,,
PATCH|DELETE,/api/admin/articles/{id},src/app/api/admin/articles/[id]/route.ts,content-admin,,Update/delete article + translations + relations,yes,zod,,$transaction
GET|POST,/api/admin/articles,src/app/api/admin/articles/route.ts,content-admin,,List ALL articles incl. drafts (unbounded findMany) / create,,zod,,
GET,/api/admin/audit-log,src/app/api/admin/audit-log/route.ts,staff(ADMIN),,Audit log tail (limit 1..200),,manual/none,yes,Read-only
PATCH|DELETE,/api/admin/back-in-stock/{id},src/app/api/admin/back-in-stock/[id]/route.ts,staff(ADMIN),,Mark notified / delete subscriber (PII email),,zod,,
POST,/api/admin/back-in-stock/notify,src/app/api/admin/back-in-stock/notify/route.ts,staff(ADMIN),,Batch-mark subscribers notified,,zod,,
GET,/api/admin/back-in-stock,src/app/api/admin/back-in-stock/route.ts,staff(ADMIN),,Back-in-stock list grouped by variant (take 200; PII emails),,manual/none,yes,
PATCH|DELETE,/api/admin/categories/{id},src/app/api/admin/categories/[id]/route.ts,content-admin,,Update/delete category + translations,yes,zod,,$transaction
GET|POST,/api/admin/categories,src/app/api/admin/categories/route.ts,content-admin,,List/create categories,,zod,,Slug auto-gen w/ suffix loop
GET|PATCH,/api/admin/customers/{id},src/app/api/admin/customers/[id]/route.ts,staff(ADMIN),,Customer detail (PII) / note + BLOCK/UNBLOCK/role,yes,zod,yes,Role change OWNER-only; owner/self guarded; block revokes sessions in $transaction
GET,/api/admin/customers,src/app/api/admin/customers/route.ts,staff(ADMIN),,Customer list w/ order aggregates,,manual/none,yes,In-JS pagination pageSize<=200; PII emails; no passwordHash leaked
GET,/api/admin/dashboard,src/app/api/admin/dashboard/route.ts,staff(ADMIN),,"KPI tiles (read-only, bounded reads)",,manual/none,yes,orderItems30d windowed read
GET|PATCH|DELETE,/api/admin/discounts/{id},src/app/api/admin/discounts/[id]/route.ts,content-admin,,Detail/CSV usage/PATCH/delete code,,zod,,
GET|POST,/api/admin/discounts,src/app/api/admin/discounts/route.ts,content-admin,,List/create discount codes,,zod,,
POST,/api/admin/emails/dispatch,src/app/api/admin/emails/dispatch/route.ts,owner,,Drain outbox via SMTP (external side effect!),,manual/none,,OWNER-only by design; no-op w/o SMTP
GET,/api/admin/emails,src/app/api/admin/emails/route.ts,staff(ADMIN),,Render outbox previews (PII recipient emails),,manual/none,yes,window caps; pagination page/pageSize<=50
GET|PUT,/api/admin/homepage,src/app/api/admin/homepage/route.ts,content-admin,,"Get draft/published; PUT upsert+publish (audited, retention cap 20)",,zod,yes,
POST,/api/admin/homepage/versions/{id}/restore,src/app/api/admin/homepage/versions/[id]/restore/route.ts,content-admin,,Restore archived version into draft (audited),,manual/none,,
GET,/api/admin/homepage/versions,src/app/api/admin/homepage/versions/route.ts,content-admin,,Version history (take 21),,manual/none,yes,
GET|PUT,/api/admin/legal,src/app/api/admin/legal/route.ts,content-admin,,"List legal docs / publish new version ($transaction, versioned)",yes,zod,,
GET|DELETE,/api/admin/newsletter,src/app/api/admin/newsletter/route.ts,staff(ADMIN),,Subscriber list (PII) / DELETE ?email= unsubscribe,,manual/none,yes,DELETE path has NO audit entry
POST,/api/admin/orders/{id}/refund,src/app/api/admin/orders/[id]/refund/route.ts,owner,,Record refund (sandbox),yes,zod,yes,OWNER-only; $transaction + PG SELECT FOR UPDATE; ceiling recheck
