ID,Title,Domain,Severity,Status,Confidence,DetailsFile,ReproducibleEvidence
QA-401,"CI triggers corrupted: ci.yml:34,36 literal 'branches: ain]' — push/PR filters match nothing; entire gate chain (typecheck/lint:ci/check-routes/migrate-deploy/build/smoke/bun audit) never runs",Build/Toolchain/Tests,Critical,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
QA-402,"prisma migrate status exit 1 — 0/5 migrations applied, _prisma_migrations absent (DB built via db push); migrate deploy would fail",Build/Toolchain/Tests,High,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
QA-403,"No test framework at all (no vitest/jest/playwright, 0 *.test.*) — zero unit/integration/E2E for business logic",Build/Toolchain/Tests,Medium,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
QA-404,"ESLint narrowed: any/unused/exhaustive-deps=warn; ban-ts-comment, no-non-null-assertion, react-hooks/purity, react-compiler, no-img-element, no-console OFF",Build/Toolchain/Tests,Medium,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
QA-405,Typecheck include depends on .next/dev/types + gitignored next-env.d.ts; skipLibCheck=true — cold CI weaker,Build/Toolchain/Tests,Low,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
QA-406,No engines/packageManager pin; CI installs bun@latest,Build/Toolchain/Tests,Low,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
QA-407,Dead prod dependency 'effect' (0 references; contradicts worklog claim),Build/Toolchain/Tests,Low,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
QA-408,bun run smoke without SMOKE_ADMIN_PASSWORD structurally exits 1; smoke performs real DB writes,Build/Toolchain/Tests,Low,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
QA-409,tailwind.config.ts dead under Tailwind v4 (no @config; content globs point to nonexistent dirs),Build/Toolchain/Tests,Informational,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
QA-410,"check-routes limits: method-agnostic, two-sided wildcards, literal-only",Build/Toolchain/Tests,Informational,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
QA-411,Stray 0-byte untracked xaa/xab in repo root,Build/Toolchain/Tests,Informational,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
QA-412,"Plaintext throwaway fixture creds in ci.yml (accepted, documented)",Build/Toolchain/Tests,Informational,Confirmed,High,/home/z/my-project/audit-output/work/2a-build-tests.md,see DetailsFile + evidence/
DB-401,"DB built via db push — _prisma_migrations missing; migrate deploy on this file fails (chain == schema, diff clean)",Database,High,Confirmed,High,/home/z/my-project/audit-output/work/2b-database.md,see DetailsFile + evidence/
DB-402,"journal_mode=delete (no WAL), no busy_timeout/tuning in db.ts — SQLITE_BUSY under concurrent writes (observed live)",Database,Medium,Confirmed,High,/home/z/my-project/audit-output/work/2b-database.md,see DetailsFile + evidence/
DB-403,35 enum-emulating String fields with no DB enforcement (observed values 100% valid today),Database,Medium,Confirmed,High,/home/z/my-project/audit-output/work/2b-database.md,see DetailsFile + evidence/
DB-404,Zero CHECK constraints (SQLite),Database,Medium,Confirmed,High,/home/z/my-project/audit-output/work/2b-database.md,see DetailsFile + evidence/
DB-405,JSON-in-String storage in 10 columns (0 invalid of 82 sampled),Database,Low,Confirmed,High,/home/z/my-project/audit-output/work/2b-database.md,see DetailsFile + evidence/
